S_0,v_0,kappa,theta,gamma,rho,r,K,T,EEP
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,100,0.5,0.1943543528274816
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,105,0.5,0.3095684773824025
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,110,0.5,0.4695617919817874
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,90,0.75,0.1264720306398654
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,95,0.75,0.2058613403898439
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,100,0.75,0.3189150551591835
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,105,0.75,0.4733430597225165
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,110,0.75,0.6770355516804614
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,90,1.0,0.1993513608599446
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,95,1.0,0.3065773752481933
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,100,1.0,0.4520251674626863
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,105,1.0,0.6430545808938497
100.0,0.0809771164037715,2.222828787557755,0.0668341856482669,0.0701451128264988,-0.6308571674677537,0.0425020824735397,110,1.0,0.8870554226535905
100.0,0.0683436992922846,4.130131712329792,0.0948743269236795,0.0509080679809692,-0.5829398821557691,0.034982410919202,90,0.5,0.0468034383623758
100.0,0.0683436992922846,4.130131712329792,0.0948743269236795,0.0509080679809692,-0.5829398821557691,0.034982410919202,95,0.5,0.0818865138264097
100.0,0.0683436992922846,4.130131712329792,0.0948743269236795,0.0509080679809692,-0.5829398821557691,0.034982410919202,100,0.5,0.1346633262467795
100.0,0.0683436992922846,4.130131712329792,0.0948743269236795,0.0509080679809692,-0.5829398821557691,0.034982410919202,105,0.5,0.2100649488398573
100.0,0.0683436992922846,4.130131712329792,0.0948743269236795,0.0509080679809692,-0.5829398821557691,0.034982410919202,110,0.5,0.3134755612084152
100.0,0.0683436992922846,4.130131712329792,0.0948743269236795,0.0509080679809692,-0.5829398821557691,0.034982410919202,90,0.75,0.094315645878976
100.0,0.0683436992922846,4.130131712329792,0.0948743269236795,0.0509080679809692,-0.5829398821557691,0.034982410919202,95,0.75,0.1480373810774979
100.0,0.0683436992922846,4.130131712329792,0.0948743269236795,0.0509080679809692,-0.5829398821557691,0.034982410919202,100,0.75,0.2219208319888892
100.0,0.0683436992922846,4.130131712329792,0.0948743269236795,0.0509080679809692,-0.5829398821557691,0.034982410919202,105,0.75,0.3200745326572516
